Team ID,Team Name,Deck 1,Deck 2,Deck 3,Deck 4
34120863,Averett Esports Varsity,AAECAc2xAh6KAckDqwTFBMsE4QeNCL7sAs7vAu72Asb4AqCAA+iJA4OWA5+bA6CbA4qeA6GhA/yjA4ukA5KkA/KlA4SnA/qsA/CvA5GxA4S2A4y2A+G2A5+3AwAA,AAECAZ/HAgjWCqCAA42CA9aZA5ObA5ibA9GlA8jAAwuXhwOClAOZmwOhoQOvpQOZqQOfqQPZrAPyrAPNrwP9sAMA,AAECAa/XAwTHA4cErwSHsAMN4QSXCIqtA4utA/muA/uvA/yvA/6vA+ewA/+wA4exA7q2A6+3AwA=,AAECAaIHCLICrwSggAOSlwPBrgPjtAOftwPLwAMLtAHtAs0DiAePlwP1pwO5rgP+rgOqrwPOrwOCsQMA
34120864,Redbird Esports Varsity,AAECAYO6AgiyAq8EoIADkpcDwa4D47QDn7cDy8ADC7QB7QLNA4gHj5cD9acDua4D/q4Dqq8Dzq8DgrEDAA==,AAECAQcEnQKvBOO0A8XAAw0WHJADnfACs/wC9KcD3KkD2K0D2q0D/q4Dqq8D0q8Dq7YDAA==,AAECAaCsAwjWCqCAA42CA9aZA5ObA5ibA9msA8jAAwuXhwOClAOZmwOhoQOvpQPRpQOZqQOfqQPyrAPNrwP9sAMA,AAECAR8ExwOHBK8Eh7ADDeEElwiKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA
34093823,UCLA Varsity,AAECAaPDAwrFBMQInPgCoIAD/KMD068DkbED47QDn7cD8b8DCqMBnakD5awD6KwD6qwD66wD7KwD/q4Dqq8D/bADAA==,AAECAR8ExwOHBK8Eh7ADDeEElwiKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA,AAECAZvDAwqyAs0DrwSggAOSlwPBrgOCsQPjtAOftwPLwAMKtAHtAogHj5cD9acDua4D/q4Dqq8Dzq8Dw7YDAA==,AAECAf0EHooByQOrBMUEywThB+wHjQjO7wLu9gLG+AKggAPoiQODlgOfmwOgmwOKngP8owOLpAOSpAPypQOEpwP6rAPwrwORsQOEtgOMtgPDtgPhtgOftwMAAA==
34094746,Maryville Hearthstone,AAECAYO6AgiyAq8EoIADkpcDwa4D47QDn7cDy8ADC7QB7QLNA4gHj5cD9acDua4D/q4Dqq8Dzq8DgrEDAA==,AAECAf0GAuO0A/G/Aw4w0wGxCMII3IYDxIkDiJ0D/acD6KwD6qwD+a4D/q4D068DgrEDAA==,AAECAR8ExwOHBK8Eh7ADDeEElwiKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA,AAECAbSKAwSvBI3wAqCAA5+3Aw1A4QTSpQPZqQP7rQP9rQOMrgPerwPnsAP/sAOFsQOHsQP/tQMA
34096137,NCU Beacons,AAECAZ/HAgKppQOFrQMO+ALlBNUIpQnRCtIK8gz3DPsMr6UD0qUD/acDhKgDhLYDAA==,AAECAdfXAwbEBq7SAr/yAvX8AvihA/O3AwxAVl/+AfcDqaIDyKID3KID76ID2akD+bUDxrcDAA==,AAECAYO6Ah60AbIC7QLNA68EiAfdCKbvAu/xAqCAA7SGA7SRA4+XA5KXA72ZA4mbA/yjA4SnA/WnA7euA7muA7+uA/6uA6qvA86vA5GxA+O0A4S2A8O2A8vAAwAA,AAECAaPDAwKCpQPHtgMO2QexCMII+v4CxIkDtJEDiJ0D+qQD+6QD/KQDgaUD+a4DsLYDurYDAA==
34096190,Arcadia Knights Esports,AAECAZICBK8EoIADiLADn7cDDUDhBNKlA9mpA/utA/2tA4yuA96vA+ewA/+wA4WxA4exA/+1AwA=,AAECAZ/HAgjWCqCAA42CA9aZA5ObA5ibA9msA8jAAwuXhwOClAOZmwOhoQOvpQPRpQOZqQOfqQPyrAPNrwP9sAMA,AAECAZ/DAwSHBK8Eh7AD57ADDccD4QSXCIqtA4utA/muA/uvA/yvA/6vA/+wA4exA7q2A6+3AwA=,AAECAaPLAwSQA68E47QDxcADDRYc1AT7DJ3wAtypA9itA9qtA/6uA6qvA9KvA6S2A6u2AwA=
34096349,Cal Bears,AAECAYoWBMcDhwSvBIewAw3hBJcIiq0Di60D+a4D+68D/K8D/q8D57AD/7ADh7EDurYDr7cDAA==,AAECAaToAgSvBK8HoIADn7cDDc8GmPsC9v0C1v4C1/4C2f4C4f4CzIEDxaEDh64D6rAD7LADjbYDAA==,AAECAYO6AgiyAq8EoIADkpcDwa4D47QDn7cDy8ADC7QB7QLNA4gHj5cD9acDua4D/q4Dqq8Dzq8DgrEDAA==,AAECAaCsAwjWCqCAA42CA9aZA5ObA5ibA9GlA8jAAwuXhwOClAOZmwOhoQOvpQOZqQOfqQPZrAPyrAPNrwP9sAMA
34096429,Illinois Tech Esports,AAECAa0GCNYKoIADjYID1pkDk5sDmJsD0aUDyMADC5eHA4KUA5mbA6GhA6+lA5mpA5+pA9msA/KsA82vA/2wAwA=,AAECAR8ExwOHBK8Eh7ADDeEElwjv8QKKrQOLrQP5rgP7rwP8rwP+rwP/sAOHsQO6tgOvtwMA,AAECAQcErwT7DOO0A8XAAw0WHJAD1ASd8ALcqQPYrQParQP+rgOqrwPSrwOktgOrtgMA,AAECAZ8FBK8ErweggAOftwMNzwaY+wL2/QLW/gLX/gLZ/gLh/gLMgQPFoQOHrgPqsAPssAONtgMA
34096912,Ashland University,AAECAf0GCMUEnPgCoIAD/KMDkbED47QDn7cD8b8DC6MBxAidqQPlrAPorAPqrAPrrAPsrAP+rgOqrwP9sAMA,AAECAaa4Awgk/gGu0gL1/ALSmQP4oQPcogP2rQMLQFZfxAa/8gKpogPIogPvogPZqQP5tQPGtwMA,AAECAZ/HAgzWCqCAA42CA5aKA9aZA5ObA5ibA4adA9GlA9msA/2wA8jAAwmXhwOClAOZmwOhoQOvpQOZqQOfqQPyrAPNrwMA,AAECAYoWBK8EoIADh7ADn7cDDeEElwjv8QKKrQOLrQP5rgP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA
34097416,Georgia State University,AAECAYO6AgiyAq8EoIADkpcDwa4D47QDn7cDy8ADC7QB7QLNA4gHj5cD9acDua4D/q4Dqq8Dzq8DgrEDAA==,AAECAR8ExwOHBK8Eh7ADDeEElwiKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA,AAECAf0EHooByQOrBMUEywThB+wHjQi+7ALO7wLu9gLG+AKggAPoiQODlgOfmwOgmwOKngP8owOLpAOSpAPypQOEpwP6rAPwrwORsQOEtgOMtgPhtgOftwMAAA==,AAECAaPLAwSggAOopAPjtAPFwAMNkAPUBJ3wApykA5+kA6SkA4KoA9itA9qtA/6uA6qvA9KvA6S2AwA=
34120867,USC Sumter Fire Ants,AAECAc2xAh5NyQOrBMsE4QfsB40Izu8C7vYCxvgCoIAD6IkD7IkDg5YDoJsDip4DwqED/KMDi6QDkqQDhKcD+qwD7K8D8K8D57ADkbEDhLYDjLYD4bYDn7cDAAA=,AAECAaa4AwavBI3wAqCAA/atA4iwA5+3AwzhBNKlA9mpA/utA/2tA4yuA96vA+ewA/CwA/+wA4WxA/+1AwA=,AAECAZ/HAgbTCqCAA42CA9aZA5ObA92rAwzWCpeHA9iJA4KUA5ibA5mbA6GhA6+lA9GlA5mpA5+pA/KsAwA=,AAECAYO6AgqyAq8E3QiggAOSlwPBrgOCsQPjtAOftwPLwAMKtAHtAs0DiAePlwP1pwO5rgP+rgOqrwPOrwMA
34120868,Ole Miss Esports,AAECAYO6AgiyAs0DrwSSlwPBrgOCsQPjtAPLwAMLtAHtAogHj5cD9acDua4D/q4Dqq8Dzq8Dm7YDw7YDAA==,AAECAQceS6IE/ASQB/8HnfACm/MC9PUCkvgCjvsCnvsCs/wCoIAD6IkD7IkDkp8Dn6EDpaED/KMDhKcD8qgD9agD2a0D360DkbED/7QDpbYDq7YDx7YDn7cDAAA=,AAECAf0GCMUEnPgCoIAD/KMDkbED47QDn7cD8b8DC6MBxAidqQPlrAPorAPqrAPrrAPsrAP+rgOqrwP9sAMA,AAECAf0EHooByQOrBMUEywThB+wHjQi+7ALO7wLu9gLG+AKggAPoiQODlgOfmwOgmwOKngP8owOLpAOSpAPypQOEpwP6rAPwrwORsQOEtgOMtgPhtgOftwMAAA==
